filename,label,prediction
/kaggle/input/noteshieldbd-bangladeshi-banknote-authentication/train/fake/note_529_4_76f3bc18668b4b399de603d3bc45390b.jpg,fake,fake
/kaggle/input/noteshieldbd-bangladeshi-banknote-authentication/train/fake/note_553_5_1d126bfa4f62434baf99bfe149854cc3.jpg,fake,fake
/kaggle/input/noteshieldbd-bangladeshi-banknote-authentication/train/fake/note_508_1_80aed6fc61384f08aaa5ee598969034c.jpg,fake,fake
/kaggle/input/noteshieldbd-bangladeshi-banknote-authentication/train/fake/note_179_2_f3d4ce98358a4185b229dd0b89d7c5d3.jpg,fake,fake
/kaggle/input/noteshieldbd-bangladeshi-banknote-authentication/train/fake/note_373_2_922aa181a0294bfaaa286be9a61aec60.jpg,fake,fake
/kaggle/input/noteshieldbd-bangladeshi-banknote-authentication/train/fake/note_559_5_2d8f7270bfaf48c79d27371d79ae14dc.jpg,fake,fake
/kaggle/input/noteshieldbd-bangladeshi-banknote-authentication/train/fake/note_424_4_52363517f69740c78682bc650e16064c.jpg,fake,fake
/kaggle/input/noteshieldbd-bangladeshi-banknote-authentication/train/fake/note_209_3_00b8971c8e064f26bc983284a1eece47.jpg,fake,fake
/kaggle/input/noteshieldbd-bangladeshi-banknote-authentication/train/fake/note_562_6_bb866c6faeea4954935e4fe2c2feb036.jpg,fake,fake
/kaggle/input/noteshieldbd-bangladeshi-banknote-authentication/train/fake/note_207_6_ce25028aaaf94078a6e6e414400820d2.jpg,fake,fake
/kaggle/input/noteshieldbd-bangladeshi-banknote-authentication/train/fake/note_160_3_8bd81107a3534e88b28e2f3584c18fa6.jpg,fake,fake
/kaggle/input/noteshieldbd-bangladeshi-banknote-authentication/train/fake/note_247_5_8493bf56b37d4a1bbddd47a49b5c4f25.jpg,fake,fake
/kaggle/input/noteshieldbd-bangladeshi-banknote-authentication/train/fake/note_211_2_e1e23ae1ed524138b3834579fed49662.jpg,fake,fake
/kaggle/input/noteshieldbd-bangladeshi-banknote-authentication/train/fake/note_359_4_187a83be823e42fbbc09f9d698875e31.jpg,fake,fake
/kaggle/input/noteshieldbd-bangladeshi-banknote-authentication/train/fake/note_217_1_118b5b3d76a54b16b710149193892abf.jpg,fake,fake
/kaggle/input/noteshieldbd-bangladeshi-banknote-authentication/train/fake/note_298_2_2515587c21c3449581a35c2b7c7f4884.jpg,fake,fake
/kaggle/input/noteshieldbd-bangladeshi-banknote-authentication/train/fake/note_502_6_b471745466e5428189ad9a9e55a4084a.jpg,fake,fake
/kaggle/input/noteshieldbd-bangladeshi-banknote-authentication/train/fake/note_046_3_9127a6dce9974657a93436d0a2a4aa9f.jpg,fake,fake
/kaggle/input/noteshieldbd-bangladeshi-banknote-authentication/train/fake/note_481_1_5dcebb10317742cfae9b8f1bcdae4590.jpg,fake,fake
/kaggle/input/noteshieldbd-bangladeshi-banknote-authentication/train/fake/note_443_1_e7e3e2bdf13344fca91fab70244b7832.jpg,fake,fake
/kaggle/input/noteshieldbd-bangladeshi-banknote-authentication/train/fake/note_480_5_72534da42f61438db9a0291b2312fb14.jpg,fake,fake
/kaggle/input/noteshieldbd-bangladeshi-banknote-authentication/train/fake/note_283_1_dbe1c31a53f84db69ed414c311e05338.jpg,fake,fake
/kaggle/input/noteshieldbd-bangladeshi-banknote-authentication/train/fake/note_166_2_3692663b656046a98b434d1816311e11.jpg,fake,fake
/kaggle/input/noteshieldbd-bangladeshi-banknote-authentication/train/fake/note_210_4_649cef7e589f45419e3d553dbf17eda8.jpg,fake,fake
/kaggle/input/noteshieldbd-bangladeshi-banknote-authentication/train/fake/note_120_3_9f93e25c746046f296f1120a3d54d7ee.jpg,fake,fake
/kaggle/input/noteshieldbd-bangladeshi-banknote-authentication/train/fake/note_263_3_798355bb58184ac58bb4fd2f87601400.jpg,fake,fake
/kaggle/input/noteshieldbd-bangladeshi-banknote-authentication/train/fake/note_143_2_6dc00d64f1084754baee0eb0ecf0555e.jpg,fake,fake
/kaggle/input/noteshieldbd-bangladeshi-banknote-authentication/train/fake/note_237_1_dbc2f225b6404ed7aaae19cf3ef3e570.jpg,fake,fake
/kaggle/input/noteshieldbd-bangladeshi-banknote-authentication/train/fake/note_019_6_47826bd3ac46402ebd9cdff295ae59e6.jpg,fake,fake
/kaggle/input/noteshieldbd-bangladeshi-banknote-authentication/train/fake/note_291_5_afe48f8938b8418eb82b56df9be7544a.jpg,fake,fake
/kaggle/input/noteshieldbd-bangladeshi-banknote-authentication/train/fake/note_087_4_b9ec4621665c4b2e8bd146290f0f8889.jpg,fake,fake
/kaggle/input/noteshieldbd-bangladeshi-banknote-authentication/train/fake/note_396_6_0d8c6dd96874459aa6d115b746700561.jpg,fake,fake
/kaggle/input/noteshieldbd-bangladeshi-banknote-authentication/train/fake/note_577_1_b80be7ea677b48b9adf5fd0d34497106.jpg,fake,fake
/kaggle/input/noteshieldbd-bangladeshi-banknote-authentication/train/fake/note_461_1_a4e8b81caa9d406aa9c3366e6fc52aa7.jpg,fake,fake
/kaggle/input/noteshieldbd-bangladeshi-banknote-authentication/train/fake/note_183_5_a39aeac852164182a891cbec054faa04.jpg,fake,fake
/kaggle/input/noteshieldbd-bangladeshi-banknote-authentication/train/fake/note_341_6_512776154cf14e80af4cbe43f7b36d1e.jpg,fake,fake
/kaggle/input/noteshieldbd-bangladeshi-banknote-authentication/train/fake/note_137_2_40ed224601fc4c21aa25a3389dd7b004.jpg,fake,fake
/kaggle/input/noteshieldbd-bangladeshi-banknote-authentication/train/fake/note_128_5_77a2b84b8ec745ceb61260771a5cbf1e.jpg,fake,fake
/kaggle/input/noteshieldbd-bangladeshi-banknote-authentication/train/fake/note_323_6_5c93f820f2584826bd173f559b354925.jpg,fake,fake
/kaggle/input/noteshieldbd-bangladeshi-banknote-authentication/train/fake/note_357_6_b8abe38c4dcf44378e1e92328d8c8cf4.jpg,fake,fake
/kaggle/input/noteshieldbd-bangladeshi-banknote-authentication/train/fake/note_443_3_2ba900713dc948ea84020c6940720577.jpg,fake,fake
/kaggle/input/noteshieldbd-bangladeshi-banknote-authentication/train/fake/note_523_2_8654b7c054f34c6e99bf34bde33b65ae.jpg,fake,fake
